,User ID,Post ID,Username,Thread ID,Post Content,Date
21,[19125],[73351],cpp_user,[29020],"As a POC malware developer, I can’t say Python is good. If you want high performance, an important part in malware, you have to learn a compiled language. I would recommend C/C++ or Go. Go is good for desktop and server malware, C/C++ for all places because it is cross platform. Python is not cross platform, so it is not good. Speaking from experience. Earlier, malware devs would use Python, but the problem was when compiling for Windows using py2exe, it would leave a lot of metadata used to identify them. So, they switched to Go. Go is easier to learn than Python, is powerful as C++/C, and is compiled, fast as well, and is high level. Go generated executables are big, so pack them with UPX. C++/C are low level languages and are more cross platform than Go, so what I did was learn C++ and Go. C++ and C can be used together, Go can be used with C, but not C++. So, what you should do is learn a low level language and a high level language. Also, Go is the easiest programming language in existence currently, so making malware will be easy in Go and it can replace C/C++ sometimes, but for mobile malware, you should use C/C++.","Jul 6, 2022 9:46 am"
22,[19125],[73352],cpp_user,[29020],"Go runs on UNIX and its variants (MacOS, Linux, BSD,) and Windows, C++ on all platforms in existence currently.","Jul 6, 2022 9:47 am"
23,[19170],[73461],C12H4Cl2F6N4OS,[29020],"Considering most malware uses OS specific APIs when writing malware in C/C++, means the code is not cross platform at all…","Jul 10, 2022 1:43 pm"
24,[19218],[73878],nightwolf,[29020],"It depends, for example, you could take a look at Sliver a C2 framework written in Go. There are things  that are OS specific but a base implant can be generated for just about anything Go can compile to in theory.  Really, a lot of language choice boils down to personal preference and the challenges you want to deal with.","Jul 27, 2022 8:21 am"
25,[19170],[73881],C12H4Cl2F6N4OS,[29020],"If you read my comment, I explicitly state “malware in c/c++”, not Golang.","Jul 27, 2022 1:56 pm"
26,[19476],[74058],0xE627,[29020],Cool repo :D. Surly I will take a look ,"Aug 4, 2022 11:57 am"
27,[37],[6009],dedady157,[1268],(this was made with the help of google translate),"Nov 6, 2016 9:51 am"
28,[19107],[73296],darklord888,[1268],"I am not a programmer but a mathematician.
I notice there is an alternative method for hash crack that I am not aware exists in the hacking community.","Jul 4, 2022 10:58 pm"
29,[18317],[71580],0xf00,[29034],"In this article, I’ll describe how to write a simple rootkit for linux. However, to understand this article, you must know how to write
linux kernel modules. If you don’t know, you can read Kernel modules — The Linux Kernel documentation 191","Apr 15, 2022 5:19 pm"
30,[8162],[71588],messede,[29034],"Nice Post !, Keep it Up !","Apr 16, 2022 6:17 am"
31,[18187],[71590],lightduty,[29034],"Nice tutorial, thanks.","Apr 16, 2022 8:17 am"
32,[4],[71611],dtm,[29034],"Cool article topic, thanks for posting!","Apr 17, 2022 6:44 pm"
33,[18843],[72746],0x47,[29034],Because even Linux users can get malware (it would be cool if a Windows version was there though).,"Jun 9, 2022 12:22 pm"
34,[18903],[72912],GrayHat,[29034],"Nice Post , Thank you","Jun 15, 2022 4:19 pm"
35,[18903],[72913],GrayHat,[29034],"Nice Post !, Keep it Up !","Jun 15, 2022 4:23 pm"
36,[19098],[73281],vex5,[29034],Is it possible for the rootkit to self protect and report custom values for /proc/sys/kernel/tainted?,"Jul 3, 2022 11:26 pm"
37,[19490],[74080],Kill244_Kim,[29034],thank you so much for this tutorial if someone want to go deep in this topic you could check out these links >,"Aug 5, 2022 7:30 pm"
