URL,ThreadID,NumberOfComments
https://0x00sec.org/t/iot-firmware-hacking-tutorial/28862/1,28862,1
https://0x00sec.org/t/using-social-engineer-toolkit-tutorial-part-1/28810/2,28810,2
https://0x00sec.org/t/windows-defender-runtime-detecting-createremotethread/28786/3,28786,3
https://0x00sec.org/t/bypassing-antivirus-userland-hooks-with-direct-system-calls-in-x64-bit-with-syswow64/27998/7,27998,7
https://0x00sec.org/t/help-to-unpack-dll/27716/3,27716,3
https://0x00sec.org/t/dynamically-extracting-the-encryption-key-from-a-simple-ransomware/28379/5,28379,5
https://0x00sec.org/t/can-responder-take-down-infrastructure/25683/3,25683,3
https://0x00sec.org/t/my-life-is-being-controlled-and-wasted-in-this-fraud-university/27660/17,27660,17
https://0x00sec.org/t/tricks-of-the-trade-from-5-years-in-offensive-cyber-security/15794/56,15794,56
https://0x00sec.org/t/how-to-strengthen-the-code-cave-infection-of-aarch64-elf-shared-libraries/28314/2,28314,2
https://0x00sec.org/t/malware-development-looking-for-a-mentor-resources/27302/20,27302,20
https://0x00sec.org/t/routes-for-getting-into-pentesting/22816/13,22816,13
https://0x00sec.org/t/need-a-little-help-with-vba-scripting-for-macros/27986/1,27986,1
https://0x00sec.org/t/pickle-insecure-deserialization-hackthebox-baby-website-rick/27130/4,27130,4
https://0x00sec.org/t/programming-for-wannabes-xiv-crypters-part-ii/27696/15,27696,15
https://0x00sec.org/t/using-search-engines-for-fun-and-bounties/23832/11,23832,11
https://0x00sec.org/t/programming-for-wanabes-xiii-crypters-part-i/27598/3,27598,3
https://0x00sec.org/t/using-direct-sys-calls-and-av-still-detecting-the-malicious-by-exe/25832/10,25832,10
https://0x00sec.org/t/im-stupid-should-i-quit/27205/19,27205,19
https://0x00sec.org/t/im-new-to-this/23569/15,23569,15
https://0x00sec.org/t/abnormal-data-section-size-leads-to-av-detection/27016/6,27016,6
https://0x00sec.org/t/android-bluetooth-password-logging/27048/2,27048,2
https://0x00sec.org/t/playing-with-hashes-and-tickets/26604/7,26604,7
https://0x00sec.org/t/fileless-malware/26973/2,26973,2
https://0x00sec.org/t/programming-for-wanabes-xii-persistence/26886/6,26886,6
https://0x00sec.org/t/bypassing-the-ipinfo-api-feat-pry0cc/26656/3,26656,3
https://0x00sec.org/t/reversing-actionspy-android-malware/26537/3,26537,3
https://0x00sec.org/t/kali-vs-blackarch-vs-parrot-sec/25548/34,25548,34
https://0x00sec.org/t/hackthebox-openadmin-writeup/26519/15,26519,15
https://0x00sec.org/t/phishing-guides-for-pentesters/25313/16,25313,16
https://0x00sec.org/t/too-late-hacking/25215/42,25215,42
https://0x00sec.org/t/how-to-get-the-output-from-a-reflected-loaded-dll-via-anonymous-pipes/26469/2,26469,2
https://0x00sec.org/t/android-security/26061/6,26061,6
https://0x00sec.org/t/macos-material-following-up-on-my-post-a-few-months-ago-looking-for-macos-internals-reversing-malware-reference/26230/3,26230,3
https://0x00sec.org/t/does-the-operating-system-matter/25937/15,25937,15
https://0x00sec.org/t/how-is-c-structure-layout-in-memory/26405/7,26405,7
https://0x00sec.org/t/scanning-wans-and-stalking-strange-devices/26374/8,26374,8
https://0x00sec.org/t/my-antivirus-evasion-journey/25744/7,25744,7
https://0x00sec.org/t/multi-platform-execution/25663/4,25663,4
https://0x00sec.org/t/starting-in-red-team/26241/7,26241,7
https://0x00sec.org/t/programming-for-wanabes-xi-introduction-to-rats/26318/3,26318,3
https://0x00sec.org/t/prerequisites-related-to-re-and-malware-analysis/25377/8,25377,8
https://0x00sec.org/t/antivirus-runtime-bypass/25574/16,25574,16
https://0x00sec.org/t/obfuscated-php-backdoor/25477/8,25477,8
https://0x00sec.org/t/reversinghero-learn-reverse-engineering-x64/16316/11,16316,11
https://0x00sec.org/t/best-language-for-write-malware/25514/29,25514,29
https://0x00sec.org/t/hello-friends-been-a-while-anyone-have-some-guidance-on-macos-malware-analysis/24700/9,24700,9
https://0x00sec.org/t/what-type-of-file-extension-would-be-more-common-in-linux-based-malware/26068/4,26068,4
https://0x00sec.org/t/introducing-axiom-the-dynamic-pwnstation-orchestrator-for-red-team-bug-bounty/21824/28,21824,28
https://0x00sec.org/t/some-books-that-you-would-recommend-reading/25676/7,25676,7
https://0x00sec.org/t/what-is-best-methodology-for-discovery-vulnerability-and-exploit-development-in-binary-software/25419/5,25419,5
https://0x00sec.org/t/i-want-to-be-a-hacker-coder-but-my-parents-are-against-it/25374/42,25374,42
https://0x00sec.org/t/site-suggestion-wikis/25795/6,25795,6
https://0x00sec.org/t/want-to-learn-cybersecurity-heres-one-of-many-approaches/535/24,535,24
https://0x00sec.org/t/programming-for-wanabes-x-file-details-in-asm/25843/4,25843,4
https://0x00sec.org/t/programming-for-wanabes-ix-finding-files-in-asm/25794/9,25794,9
https://0x00sec.org/t/programming-for-wanabes-viii-file-details/25738/5,25738,5
https://0x00sec.org/t/why-ecb-is-not-a-good-mode-of-operation/25443/5,25443,5
https://0x00sec.org/t/the-quick-way-to-learn-about-pascal-programming-language/25714/4,25714,4
https://0x00sec.org/t/how-do-you-learn-winapi/25678/7,25678,7
https://0x00sec.org/t/why-is-post-quantum-cryptography-important/25693/2,25693,2
https://0x00sec.org/t/need-advise-on-dynamic-reversing-encrypted-php-file/25659/5,25659,5
https://0x00sec.org/t/programming-for-wanabes-vii-finding-files-i/25662/7,25662,7
https://0x00sec.org/t/0x00sec-wallpapers-4k/24878/8,24878,8
https://0x00sec.org/t/can-someone-explain-a-function-that-return-an-array-in-c/25640/4,25640,4
https://0x00sec.org/t/programming-for-wannabes-part-vi-malware-introduction/25595/4,25595,4
https://0x00sec.org/t/heap-exploitation-playing-with-chunks/2055/8,2055,8
https://0x00sec.org/t/threat-hunting-and-mitigation-in-nix-macos-environments-please-comment-and-tell-me-what-im-missing-this-is-initial-work/25446/2,25446,2
https://0x00sec.org/t/why-the-most-skilled-people-in-this-field-thinks-that-our-world-is-a-simulation/25421/4,25421,4
https://0x00sec.org/t/breaking-the-d-link-dir3060-firmware-encryption-static-analysis-of-the-decryption-routine-part-2-1/22099/7,22099,7
https://0x00sec.org/t/is-there-any-way-i-can-earn-a-job-with-my-hacking-skills-through-certificates-and-programs-without-going-to-college/25366/4,25366,4
https://0x00sec.org/t/redwood-report2web-cve-2021-26710-and-cve-2021-26711/24874/4,24874,4
https://0x00sec.org/t/the-importance-of-enumeration/25314/4,25314,4
https://0x00sec.org/t/what-is-marianas-web-how-does-it-work-how-to-access-the-most-accurate-expression/24875/6,24875,6
https://0x00sec.org/t/shell-affect-baseline-penetration-testing-online-course-release/17199/11,17199,11
https://0x00sec.org/t/im-trying-to-figure-out-if-this-could-somehow-be-overflowed/25174/4,25174,4
https://0x00sec.org/t/a-dive-on-smbexec/24961/8,24961,8
https://0x00sec.org/t/how-to-build-your-own-ruby-rat/24919/3,24919,3
https://0x00sec.org/t/relation-between-re-exploit-development/24811/11,24811,11
https://0x00sec.org/t/the-devil-entered-the-stage-devils-swapper-write-up/2379/12,2379,12
https://0x00sec.org/t/0x00sec-2020-year-end-review-0x05/24443/5,24443,5
https://0x00sec.org/t/process-injection-remote-thread-injection-or-createremotethread/24399/10,24399,10
https://0x00sec.org/t/building-an-all-in-one-pentest-tool-with-wio-terminal-arduino/24544/4,24544,4
https://0x00sec.org/t/shell-affect-new-examination-model/19765/1,19765,1
https://0x00sec.org/t/tips-commands-hacking/15859/2,15859,2
https://0x00sec.org/t/hackthebox-machines-for-beginners/16148/32,16148,32
https://0x00sec.org/t/red-team-gitbook-2-0/24701/3,24701,3
https://0x00sec.org/t/gtfonow-automatic-privilege-escalation-for-misconfigured-capabilities-sudo-and-suid-binaries/24634/5,24634,5
https://0x00sec.org/t/receive-emails-from-a-keylogger-without-hardcoding-smtp-credentials/23458/6,23458,6
https://0x00sec.org/t/advanced-axiom-usage-axiom-scan/24600/4,24600,4
https://0x00sec.org/t/python-email-automation/23842/6,23842,6
https://0x00sec.org/t/process-injection-apc-injection/24608/3,24608,3
https://0x00sec.org/t/how-would-you-pros-out-there-recommend-getting-started-with-assembly/23806/4,23806,4
https://0x00sec.org/t/machine-learning-for-security/24321/3,24321,3
https://0x00sec.org/t/machine-learning-assisted-fuzzer-finds-31-new-vulnerabilities/24499/4,24499,4
https://0x00sec.org/t/breaking-the-d-link-dir3060-firmware-encryption-static-analysis-of-the-decryption-routine-part-2-2/22260/5,22260,5
https://0x00sec.org/t/a-great-tutorial-about-writing-advanced-lkm-rootkits-for-absolute-beginners/24046/6,24046,6
https://0x00sec.org/t/caesar-cipher-in-c-encryption-decryption/23522/4,23522,4
https://0x00sec.org/t/how-to-get-started-with-code-analysis-in-order-to-find-0days/23178/6,23178,6
https://0x00sec.org/t/the-s2-061-struts-remote-code-execution-vulnerability-cve-2020-17530-in-the-wild/24324/2,24324,2
https://0x00sec.org/t/stm32f103c8t6-e-scooter-sets-lockbits-by-itself-patch-hex/24302/2,24302,2
https://0x00sec.org/t/wanna-be-1337-in-c-programming/2639/13,2639,13
https://0x00sec.org/t/stm32f103c8t6-e-scooter-firmware-reverse-engineering/24201/9,24201,9
https://0x00sec.org/t/how-google-and-other-companies-know-your-location-all-the-time/24098/8,24098,8
https://0x00sec.org/t/programming-for-wannabes-part-v-a-dropper/23090/6,23090,6
https://0x00sec.org/t/if-you-want-to-get-good-at-malware-development/23466/6,23466,6
https://0x00sec.org/t/creating-a-botnet-in-c-plus-plus/23530/8,23530,8
https://0x00sec.org/t/how-can-i-create-a-bot-for-social-media-networks/23799/4,23799,4
https://0x00sec.org/t/coqui-a-keylogger-that-activates-for-only-banking-related-sites/22818/7,22818,7
https://0x00sec.org/t/how-to-attack-dhcp/23763/3,23763,3
https://0x00sec.org/t/windows-defender-av-zero-day-vulnerability/22258/5,22258,5
https://0x00sec.org/t/load-time-function-hijacking-via-shared-object-injection/22707/6,22707,6
https://0x00sec.org/t/elf-injector-patching-issues/22714/11,22714,11
https://0x00sec.org/t/hts-org-r10-challenge/2380/5,2380,5
https://0x00sec.org/t/confused-about-malware-development/22897/26,22897,26
https://0x00sec.org/t/delphi-for-malware/22923/5,22923,5
https://0x00sec.org/t/0x00sec-security-incident-notification-september-30th-2020/23355/5,23355,5
https://0x00sec.org/t/some-functions-doesnt-have-prologue-why/23410/3,23410,3
https://0x00sec.org/t/hide-encrypted-files-inside-unsuspecting-binaries/23323/5,23323,5
https://0x00sec.org/t/help-with-self-modifying-code-unpacker/23351/4,23351,4
https://0x00sec.org/t/profile-pictures-and-other-resources-seem-to-be-broken/23145/5,23145,5
https://0x00sec.org/t/regex-for-easy-0days/23016/5,23016,5
https://0x00sec.org/t/utilizing-discord-as-a-possible-attack-vector/22609/7,22609,7
https://0x00sec.org/t/docker-worm-in-python/23268/2,23268,2
https://0x00sec.org/t/how-to-avoid-burnout/22767/23,22767,23
https://0x00sec.org/t/xss-on-cookie-pop-up/19580/3,19580,3
https://0x00sec.org/t/rep-elearning-security-reveiw/23132/2,23132,2
https://0x00sec.org/t/doubt-malware-anti-forensics/23062/9,23062,9
https://0x00sec.org/t/android-settings-hardening-automation/22219/11,22219,11
https://0x00sec.org/t/innovative-red-team-tactics/22999/5,22999,5
https://0x00sec.org/t/finding-firebase-databases-that-are-exposed-to-the-internet/23026/2,23026,2
https://0x00sec.org/t/bypass-linux-basic-anti-debugging/22799/4,22799,4
https://0x00sec.org/t/as141011-registered/22842/3,22842,3
https://0x00sec.org/t/cvexplained-cve-2007-2447/22748/3,22748,3
https://0x00sec.org/t/how-to-create-your-own-russian-bot-army/22370/6,22370,6
https://0x00sec.org/t/my-first-attempt-at-xss/13871/6,13871,6
https://0x00sec.org/t/public-discord-again-late-2019-update/16018/21,16018,21
https://0x00sec.org/t/programming-for-wannabes-part-iv/22421/7,22421,7
https://0x00sec.org/t/privilege-escalation/22302/6,22302,6
https://0x00sec.org/t/vbulletin-how-to-steal-vbulletin-admins-password/22112/3,22112,3
https://0x00sec.org/t/0x00sec-music-wiki/22265/9,22265,9
https://0x00sec.org/t/exploit-development-the-magic-in-hacking/20349/11,20349,11
https://0x00sec.org/t/what-are-y-all-s-opinions-on-programming-books/20337/28,20337,28
https://0x00sec.org/t/spy-android-app-development/20863/12,20863,12
https://0x00sec.org/t/persistence-techniques/22470/5,22470,5
https://0x00sec.org/t/windows-terminal-pentesting/22448/6,22448,6
https://0x00sec.org/t/cscg-2020-reversing-intro-challenges-writeup-easy-level/20096/9,20096,9
https://0x00sec.org/t/insecure-file-upload-vulnerability/21448/12,21448,12
https://0x00sec.org/t/tor-a-waf-and-luck/21592/17,21592,17
https://0x00sec.org/t/elf-binaries-are-intimidating-any-tips/22478/6,22478,6
https://0x00sec.org/t/citadel-a-collection-of-offensive-security-scripts/22179/5,22179,5
https://0x00sec.org/t/zero2auto-cruloader/22420/3,22420,3
https://0x00sec.org/t/looking-for-bug-bounty-tips-advice/22355/4,22355,4
https://0x00sec.org/t/reverseme-recursion/21802/8,21802,8
https://0x00sec.org/t/request-for-comments-crackme-linux-c/475/13,475,13
https://0x00sec.org/t/canary-tokens-the-zero-setup-honeypot/22275/2,22275,2
https://0x00sec.org/t/realmode-assembly-writing-bootable-stuff-part-3/3116/10,3116,10
https://0x00sec.org/t/realmode-assembly-writing-bootable-stuff-part-7/8798/6,8798,6
https://0x00sec.org/t/realmode-assembly-writing-bootable-stuff-part-6/4915/6,4915,6
https://0x00sec.org/t/realmode-assembly-writing-bootable-stuff-part-5/3667/5,3667,5
https://0x00sec.org/t/realmode-assembly-writing-bootable-stuff-part-4/3317/6,3317,6
https://0x00sec.org/t/realmode-assembly-writing-bootable-stuff-part-1/2901/10,2901,10
https://0x00sec.org/t/realmode-assembly-writing-bootable-stuff-part-2/2992/17,2992,17
https://0x00sec.org/t/welcome-to-the-poly-bomb/2692/4,2692,4
https://0x00sec.org/t/reversing-and-exploiting-dr-von-noizemans-nuclear-bomb/3412/9,3412,9
https://0x00sec.org/t/master-of-rats-how-to-create-your-own-tracker/20848/8,20848,8
https://0x00sec.org/t/0x00sec-notice-temporary-maintenance/22116/4,22116,4
https://0x00sec.org/t/spawning-reverse-shells/2133/13,2133,13
https://0x00sec.org/t/breaking-the-d-link-dir3060-firmware-encryption-recon-part-1/21943/11,21943,11
https://0x00sec.org/t/doom95-making-an-aimbot/19862/12,19862,12
https://0x00sec.org/t/how-do-you-decode-this/21932/5,21932,5
https://0x00sec.org/t/execution-lolbas/21922/4,21922,4
https://0x00sec.org/t/autocrack-a-responder-to-hashcat-queue-with-notifications/21843/6,21843,6
https://0x00sec.org/t/nahamseccon-hosted-on-twitch/21756/14,21756,14
https://0x00sec.org/t/capturing-hashes/21826/3,21826,3
https://0x00sec.org/t/bug-bounty-in-2020-some-thoughts-discussion/21761/8,21761,8
https://0x00sec.org/t/build-your-own-botnet-web-app/21774/7,21774,7
https://0x00sec.org/t/zsh-tricks-and-aliases-to-level-up-discussion/21760/4,21760,4
https://0x00sec.org/t/fishing-for-malware/20111/11,20111,11
https://0x00sec.org/t/zero2auto-initial-stagers-from-one-email-to-a-trojan/21722/3,21722,3
https://0x00sec.org/t/useful-things-i-tend-to-forget-to-do-when-playing-htb/20784/14,20784,14
https://0x00sec.org/t/nullsec-zine-a-call-to-all-users-and-staff/21534/6,21534,6
https://0x00sec.org/t/quickie-zero2auto-malware-course-homework/21616/2,21616,2
https://0x00sec.org/t/the-art-of-malware-bringing-the-dead-back-to-life/19599/12,19599,12
https://0x00sec.org/t/double-url-encoded-xss/21574/3,21574,3
https://0x00sec.org/t/sources-for-a-good-amount-of-programming-languages/130/20,130,20
https://0x00sec.org/t/using-wasi-web-assembly-system-interface-to-call-messageboxa/21516/3,21516,3
https://0x00sec.org/t/pe-file-reader-article-dump/21458/4,21458,4
https://0x00sec.org/t/personal-tale-and-the-road-to-malware-development-resources/20369/7,20369,7
https://0x00sec.org/t/linux-without-root/2119/14,2119,14
https://0x00sec.org/t/commando-vm-for-pentesting-with-windows/12669/17,12669,17
https://0x00sec.org/t/ss7-network-part-1/19671/15,19671,15
https://0x00sec.org/t/open-redirection-guide/21118/12,21118,12
https://0x00sec.org/t/how-not-to-write-a-security-blog/1367/8,1367,8
https://0x00sec.org/t/malware-challenges-analyzeme-no1/20894/8,20894,8
https://0x00sec.org/t/writeup-0x00sec-ctf-exercise-6/20987/2,20987,2
https://0x00sec.org/t/arm-crackme-starting-with-eor/6421/5,6421,5
https://0x00sec.org/t/null-terminated-programming-101-x64/20398/5,20398,5
https://0x00sec.org/t/maintain-session-hijacking/20805/8,20805,8
https://0x00sec.org/t/learn-botnets-rootkits-and-keyloggers/20507/10,20507,10
https://0x00sec.org/t/vulnhub-dmv-1-writeup-walkthrough/20864/2,20864,2
https://0x00sec.org/t/writeup-0x00sec-ctf-exercise-5/20658/4,20658,4
https://0x00sec.org/t/hackthebox-writeup-control/20801/3,20801,3
https://0x00sec.org/t/the-basics-to-master-the-skill-of-ethical-hacking/20750/5,20750,5
https://0x00sec.org/t/wifipumpkin3-tool/20623/8,20623,8
https://0x00sec.org/t/random-thoughts-after-nearly-9-years-pentesting-red-teaming-2019/16397/19,16397,19
https://0x00sec.org/t/larrychatter-poc-hammertoss-c2-over-twitter/20645/4,20645,4
https://0x00sec.org/t/life-update-regarding-to-my-last-post-from-a-couple-of-months-ago/19972/8,19972,8
https://0x00sec.org/t/why-you-should-learn-ansible/20281/9,20281,9
https://0x00sec.org/t/suggestions-for-things-to-try-on-web-app-pentest-exercise-with-limited-avenues-for-attack/20085/12,20085,12
https://0x00sec.org/t/excel-primi-passi/20458/8,20458,8
https://0x00sec.org/t/taking-sql-injections-further-blind-second-order-sql-injection-tmhc-ctf-shitter-writeup/18122/4,18122,4
https://0x00sec.org/t/overthewire-narnia-challenges-0-4-writeups-binary-exploitation-basics-with-explanations/18362/3,18362,3
https://0x00sec.org/t/writeup-0x00sec-ctf-exercise-4/20232/7,20232,7
https://0x00sec.org/t/vulnhub-boredhackerblog-cloud-av-writeup-walkthrough/20360/3,20360,3
https://0x00sec.org/t/unrestricted-cv-file-upload/20325/4,20325,4
https://0x00sec.org/t/red-team-gitbook/19389/8,19389,8
https://0x00sec.org/t/getting-know-tcp-handshake-and-messages/20115/8,20115,8
https://0x00sec.org/t/what-is-your-go-to-dns-enumeration-methodology-discussion/20169/11,20169,11
https://0x00sec.org/t/introduction-4554551n-533k3r/20221/3,20221,3
https://0x00sec.org/t/vulnhub-devrandom-ctf-1-1-writeup/20195/2,20195,2
https://0x00sec.org/t/speeding-up-nmap-udp-scans/20168/1,20168,1
https://0x00sec.org/t/writeup-0x00sec-ctf-exercise-1/19412/4,19412,4
https://0x00sec.org/t/not-anything-hacking-related-but-im-in-a-dark-place/18542/41,18542,41
https://0x00sec.org/t/hackthebox-writeup-sniper/20112/4,20112,4
https://0x00sec.org/t/full-duplex-and-half-duplex/19982/4,19982,4
https://0x00sec.org/t/introducing-bi-monthly-0x00sec-ctf-exercises/19044/33,19044,33
https://0x00sec.org/t/gosh-a-golang-reverse-bind-shell-generator/20053/7,20053,7
https://0x00sec.org/t/devsecops-in-robotics-the-intersection-of-quality-and-security/20046/2,20046,2
https://0x00sec.org/t/writeup-0x00sec-ctf-exercise-2/19685/6,19685,6
https://0x00sec.org/t/writeup-0x00sec-ctf-exercise-3/19957/2,19957,2
https://0x00sec.org/t/crackme-norepls-part-6/3059/12,3059,12
https://0x00sec.org/t/b01lers-ctf-jumpdrive-writeup/19887/4,19887,4
https://0x00sec.org/t/quick-tip-building-a-ctf-alert-system/19796/3,19796,3
https://0x00sec.org/t/punishing-code-with-magic-numbers-with-rop-and-ret2libc-on-an-x86-64/19751/3,19751,3
https://0x00sec.org/t/crackme-crackme-simulator-2018/6740/8,6740,8
https://0x00sec.org/t/pwnable-code-auditing-norepls-part-7/10617/6,10617,6
https://0x00sec.org/t/hacking-anonymously/18075/18,18075,18
https://0x00sec.org/t/open-source-windows-keylogger/19237/4,19237,4
https://0x00sec.org/t/cracking-wpa-exploiting-poor-design-techniques/806/9,806,9
https://0x00sec.org/t/osint-lamprey/19477/2,19477,2
https://0x00sec.org/t/open-redirection-via-login/19240/3,19240,3
https://0x00sec.org/t/bi-monthly-0x00sec-ctf-exercises-2-release/19396/4,19396,4
https://0x00sec.org/t/explaining-the-bi-monthly-0x00sec-ctf-scoring-system/19415/2,19415,2
https://0x00sec.org/t/how-to-get-started-in-ctf/18978/7,18978,7
https://0x00sec.org/t/analyzing-modern-malware-techniques-part-4/19289/2,19289,2
https://0x00sec.org/t/being-unsocial-help-regarding-balancing-personal-life/19077/6,19077,6
https://0x00sec.org/t/idor-leads-to-data-leakage-and-profile-update/19025/3,19025,3
https://0x00sec.org/t/through-the-looking-glass-lame/19149/4,19149,4
https://0x00sec.org/t/happy-new-year-everybody/18390/16,18390,16
https://0x00sec.org/t/captain-userland-api-monitor-for-threat-hunting/19037/8,19037,8
https://0x00sec.org/t/linux-ricing-resources-wiki/18465/5,18465,5
https://0x00sec.org/t/practical-applications-of-xss/18699/5,18699,5
https://0x00sec.org/t/analyzing-modern-malware-techniques-part-3/18943/5,18943,5
https://0x00sec.org/t/buffer-overflow-to-run-root-shell/18629/8,18629,8
https://0x00sec.org/t/happy-australia-day/18812/4,18812,4
https://0x00sec.org/t/anti-virus-exploitation-malwarebytes-4-0-4-protection-not-found-hijacking-malwarebytes-via-com-ipc/18766/2,18766,2
https://0x00sec.org/t/analyzing-modern-malware-techniques-part-2/18765/2,18765,2
https://0x00sec.org/t/analyzing-modern-malware-techniques-part-1/18663/10,18663,10
https://0x00sec.org/t/why-so-blue-windows-7-end-of-life/18608/6,18608,6
https://0x00sec.org/t/scripts-to-rice-your-setup-pt-2/2050/8,2050,8
https://0x00sec.org/t/subzone-zone-transfer-attack-exploiting-dns-servers-abusing-certificate-authority-python/18553/2,18553,2
https://0x00sec.org/t/0x00sec-2019-year-end-review-year-0x04/18391/5,18391,5
https://0x00sec.org/t/scripts-to-rice-your-setup-pt-1/1886/16,1886,16
https://0x00sec.org/t/metasploitable-1-walkthrough/3964/9,3964,9
https://0x00sec.org/t/rules-or-otherwise-unfavorable-behavior/18368/4,18368,4
https://0x00sec.org/t/multiple-host-header-attacks-after-bypassing-protection-with-a-header-attack/18018/8,18018,8
https://0x00sec.org/t/explaining-server-side-template-injections/16297/7,16297,7
https://0x00sec.org/t/monitoring-what-users-does-in-their-apps/16562/9,16562,9
https://0x00sec.org/t/data-lifetime-64-61-74-61/18227/2,18227,2
https://0x00sec.org/t/a-powerful-xss-scanner-for-scanning-many-urls/18225/2,18225,2
https://0x00sec.org/t/reversing-hackex-an-android-game/16243/19,16243,19
https://0x00sec.org/t/render-ui-reverse-engineering/18138/3,18138,3
https://0x00sec.org/t/watcher-mapping-addressable-security-cameras-a-devlog/14650/31,14650,31
https://0x00sec.org/t/industrial-robot-ransomware-akerbeltz/18130/2,18130,2
https://0x00sec.org/t/better-usb-injection-with-rawcoon/16843/4,16843,4
https://0x00sec.org/t/my-hackthebox-ctf-methodology-from-fresh-box-to-root/13980/25,13980,25
https://0x00sec.org/t/crackme-re-math-challenge-medium-decrypt-the-hidden-message/10293/7,10293,7
https://0x00sec.org/t/ask-and-ye-shall-receive/14199/7,14199,7
https://0x00sec.org/t/tryhackme-htb-with-walkthroughs/17979/2,17979,2
https://0x00sec.org/t/sql-injection-enumerating-columns/749/10,749,10
https://0x00sec.org/t/wsmanager-opensource-webshell-manager/17105/7,17105,7
https://0x00sec.org/t/exploit-reporting-guidelines/17034/9,17034,9
https://0x00sec.org/t/osint-opsec-first-lessons-my-way/16633/7,16633,7
https://0x00sec.org/t/golismero-cheatsheet/1258/7,1258,7
https://0x00sec.org/t/sending-c-functions-over-the-internet/17512/7,17512,7
https://0x00sec.org/t/anti-virus-exploitation-local-privilege-escalation-in-k7-security-cve-2019-16897/17655/5,17655,5
https://0x00sec.org/t/how-to-become-anonymous-like-notorious-blackhats-stealthiest-setup/1346/25,1346,25
https://0x00sec.org/t/crackme-1-c/6576/8,6576,8
https://0x00sec.org/t/anonymizing-virtual-machines-with-whonix/17529/2,17529,2
https://0x00sec.org/t/rabbit-hole-simple-node-graph-creator/17066/4,17066,4
https://0x00sec.org/t/cyber-security-awareness/16501/5,16501,5
https://0x00sec.org/t/hack-the-box-haystack/17303/4,17303,4
https://0x00sec.org/t/crack-me-10/15920/3,15920,3
https://0x00sec.org/t/reverse-challenge-revme/17016/7,17016,7
https://0x00sec.org/t/hydrabus-framework/17057/3,17057,3
https://0x00sec.org/t/hackthebox-for-learning-hacking/9241/51,9241,51
https://0x00sec.org/t/crashing-hackarmy-botnet/16738/5,16738,5
https://0x00sec.org/t/securing-docker-containers/16913/2,16913,2
https://0x00sec.org/t/surfing-the-v01d/16500/9,16500,9
https://0x00sec.org/t/python-adventures-01/15730/9,15730,9
https://0x00sec.org/t/crackme-challenge-part-1-introduction-very-easy-password-mechanism-python/409/30,409,30
https://0x00sec.org/t/crackme-challenge-part-2-hardcoded-password-c/423/12,423,12
https://0x00sec.org/t/disinformation-demystified/16157/8,16157,8
https://0x00sec.org/t/virtual-reality-project-grand-theft-socket-payload/16197/6,16197,6
https://0x00sec.org/t/dca-orchestration/16171/2,16171,2
https://0x00sec.org/t/dca-docker-certified-associate/16170/2,16170,2
https://0x00sec.org/t/con-anyone-padding/16152/3,16152,3
https://0x00sec.org/t/hackthebox-writeup-bastion/16095/4,16095,4
https://0x00sec.org/t/my-crackme-solving/16033/1,16033,1
https://0x00sec.org/t/new-things-to-0x00sec-patreon-stickers/12964/18,12964,18
https://0x00sec.org/t/how-fun-accidentally-became-security-risk/14292/20,14292,20
https://0x00sec.org/t/can-bus-protocol-pentesting-and-forensics/15689/6,15689,6
https://0x00sec.org/t/hackthebox-writeup-arkham/15541/4,15541,4
